rank,title,author,goodreads_rating,goodreads_count,sources_count,list_book_rating,publish_date,tags,featured_in
1,1984,George Orwell,4.19,4494019.0,8.0,67.91,1949-06-08,"classics, fiction, science-fiction, dystopian-science-fiction","100 Books Everyone Should Read, 100 must-read classics, as chosen by our readers, Must reads: 50 best books of all time - Pan Macmillan"
2,To Kill a Mockingbird,Harper Lee,4.26,6009251.0,8.0,68.54,1960-07-11,"classics, fiction, historical-fiction","100 must-read classics, as chosen by our readers, 100 Books Everyone Should Read, 100 Books Every Man Should Read | The Art of Manliness"
3,Pride and Prejudice,Jane Austen,4.28,4185079.0,8.0,68.21,1813-01-28,"classics, fiction, romance","Must reads: 50 best books of all time - Pan Macmillan, 100 Books Everyone Should Read, 100 must-read classics, as chosen by our readers"
4,The Lord of the Rings,J. R. R. Tolkien,4.52,667901.0,7.0,66.17,1955-10-20,"fantasy, fiction, classics","100 Books Everyone Should Read, 100 must-read classics, as chosen by our readers, 100 Books Every Man Should Read | The Art of Manliness"
5,How to Win Friends and Influence People,"Dale Carnegie, Robert Petkoff, Donna Dale Carnegie, Simon & Schuster Audio",4.22,954743.0,7.0,65.08,1936-10-01,"personal-development, nonfiction, business, leadership, psychology, social-sciences, philosophy, relationships-and-family","The 33 Best Self-Help Books of All Time to Read at Any Age, Must reads: 50 best books of all time - Pan Macmillan, 100 Books Every Man Should Read | The Art of Manliness"
6,Man's Search for Meaning,Viktor E. Frankl,4.37,688059.0,6.0,62.77,1959-01-01,"nonfiction, psychology, social-sciences, philosophy, history","The 33 Best Self-Help Books of All Time to Read at Any Age, 100 Books Everyone Should Read, The Most 30 Life-Changing Books You Will Remember Forever"
7,The Alchemist,Paulo Coelho,3.91,2985545.0,5.0,58.42,1988-01-01,"philosophy, social-sciences, fiction, classics, fantasy","The 33 Best Self-Help Books of All Time to Read at Any Age, Must reads: 50 best books of all time - Pan Macmillan, The Most 30 Life-Changing Books You Will Remember Forever"
8,Beloved,Toni Morrison,3.95,426887.0,5.0,57.6,1987-09-16,"fiction, classics, historical-fiction","100 Books Everyone Should Read, 100 must-read classics, as chosen by our readers, Must reads: 50 best books of all time - Pan Macmillan"
9,One Hundred Years of Solitude,Gabriel Garcia Marquez,4.11,956547.0,5.0,58.29,1967-05-01,"fiction, classics, magical-realism, literary-fiction","100 must-read classics, as chosen by our readers, 100 Books Everyone Should Read, 100 Books Every Man Should Read | The Art of Manliness"
10,The Great Gatsby,F. Scott Fitzgerald,3.93,5131389.0,5.0,58.47,1925-04-10,"classics, fiction","100 must-read classics, as chosen by our readers, Must reads: 50 best books of all time - Pan Macmillan, 100 Books Every Man Should Read | The Art of Manliness"
11,The Handmaid's Tale,Margaret Atwood,,,,,1998-04-01,,
12,Deep Work,Cal Newport,,,,,2016-01-05,,
13,The Hitchhiker's Guide to the Galaxy,Douglas Adams,,,,,2005-01-01,,
14,The Shining,Stephen King,,,,,1980-07-01,,
15,Frankenstein,Mary Shelley,,,,,2018-03-08,,
16,Catch-22,Joseph Heller,,,,,2004-09-04,,
17,The Subtle Art of Not Giving a F*ck,Mark Manson,,,,,2016-09-13,,
18,The Name of the Rose,Umberto Eco,,,,,1994-01-01,,
